Episode:484, reward-177.1, passenger24
Episode:485, reward-44.6, passenger35
Episode:486, reward-282.3, passenger16
Episode:487, reward39.1, passenger44
Episode:488, reward52.8, passenger46
Episode:489, reward-408.6, passenger4
Episode:490, reward296.8, passenger65
Episode:491, reward-289.1, passenger11
Episode:492, reward46.3, passenger44
Episode:493, reward-439.9, passenger6
Episode:494, reward-74.2, passenger36
Episode:495, reward205.3, passenger59
Episode:496, reward-47.7, passenger40
Episode:497, reward109.2, passenger52
Episode:498, reward0.6, passenger37
Episode:499, reward-428.8, passenger0
Episode:500, reward-21.0, passenger37
Episode:501, reward-229.3, passenger24
Episode:502, reward-293.3, passenger14
Episode:503, reward-25.2, passenger40
Episode:504, reward-343.2, passenger10
Episode:505, reward-360.2, passenger11
Episode:506, reward-221.4, passenger22
Episode:507, reward-18.9, passenger40
Episode:508, reward-269.4, passenger19
Episode:509, reward-453.8, passenger2
Episode:510, reward-26.1, passenger40
Episode:511, reward-220.7, passenger20
Episode:512, reward-117.2, passenger29
Episode:513, reward92.8, passenger50
Episode:514, reward-164.1, passenger28
Episode:515, reward-261.5, passenger17
Episode:516, reward-66.0, passenger37
Episode:517, reward-278.8, passenger15
Episode:518, reward-371.7, passenger13
Episode:519, reward32.1, passenger46
Episode:520, reward35.3, passenger42
Episode:521, reward-421.6, passenger0
Episode:522, reward-452.2, passenger0
Episode:523, reward-198.7, passenger24
Episode:524, reward-367.3, passenger3
Episode:525, reward89.9, passenger57
Episode:526, reward-351.6, passenger7
Episode:527, reward85.7, passenger51
Episode:528, reward-271.7, passenger14
Episode:529, reward-460.3, passenger0
Episode:530, reward41.3, passenger48
Episode:531, reward-190.0, passenger21
Episode:532, reward267.3, passenger67
Episode:533, reward-388.0, passenger3
Episode:534, reward-157.3, passenger33
Episode:535, reward195.1, passenger56
Episode:536, reward-283.3, passenger15
Episode:537, reward-239.2, passenger15
Episode:538, reward-285.9, passenger16
Episode:539, reward-240.4, passenger30
Episode:540, reward-28.0, passenger39
Episode:541, reward2.0, passenger42
Episode:542, reward-225.1, passenger21
Episode:543, reward-324.2, passenger11
Episode:544, reward-9.3, passenger37
Episode:545, reward-184.6, passenger21
Episode:546, reward-288.0, passenger13
Episode:547, reward195.9, passenger55
Episode:548, reward-382.1, passenger8
Episode:549, reward-62.9, passenger32
Episode:550, reward-211.4, passenger23
Episode:551, reward-172.9, passenger30
Episode:552, reward-83.4, passenger34
Episode:553, reward-385.4, passenger2
Episode:554, reward8.2, passenger41
Episode:555, reward47.9, passenger42
Episode:556, reward-258.0, passenger25
Episode:557, reward193.8, passenger61
Episode:558, reward-320.6, passenger11
Episode:559, reward93.4, passenger47
Episode:560, reward-225.9, passenger22
Episode:561, reward-62.5, passenger36
Episode:562, reward-147.2, passenger26
Episode:563, reward15.4, passenger41
Episode:564, reward-177.2, passenger23
Episode:565, reward-334.6, passenger6
Episode:566, reward-180.3, passenger28
Episode:567, reward-314.3, passenger11
Episode:568, reward-14.8, passenger36
Episode:569, reward224.4, passenger61
Episode:570, reward-151.7, passenger26
Episode:571, reward-378.6, passenger7
Episode:572, reward75.9, passenger52
Episode:573, reward245.3, passenger63
Episode:574, reward-127.1, passenger29
Episode:575, reward6.3, passenger40
Episode:576, reward-348.5, passenger11
Episode:577, reward-354.0, passenger10
